ID,Ticker,Entry Type,Buy Date,Buy Price,Sell Date,Sell Price,Change %,P&L,P&L%,Quantity,No. of days held
1,TECHM,long,31-10-06,202.6848813,07-12-06,228.2215403,12.6,1233.742308,1.22,50,27
2,TECHM,long,02-01-07,338.4515578,05-02-07,360.9319353,6.64,1054.080524,1.03,50,22
3,TECHM,long,24-04-07,292.1265059,23-05-07,298.9098693,2.32,280.0645322,0.27,50,19
4,TECHM,long,14-06-07,301.929173,29-06-07,285.0211024,-5.6,-904.0985571,-0.89,50,11
5,TECHM,long,17-07-07,301.9290549,30-07-07,271.7362657,-10,-1567.005995,-1.57,50,9
6,TECHM,long,13-09-07,259.6590725,31-10-07,247.5819113,-4.65,-654.5821594,-0.66,50,33
7,TECHM,long,17-12-07,229.4661612,17-01-08,194.0398289,-15.44,-1813.667213,-1.86,50,21
8,TECHM,long,08-05-08,189.2189858,30-05-08,169.2816086,-10.54,-1032.718921,-1.07,50,15
9,TECHM,long,07-08-08,156.7457778,24-09-08,135.3686099,-13.64,-1098.069834,-1.15,50,32
10,TECHM,long,15-01-09,46.84196699,04-02-09,47.86919521,2.19,41.89029459,0.04,50,13
11,TECHM,long,24-02-09,54.44350554,03-07-09,156.1398529,186.79,5063.759031,5.03,50,86
12,TECHM,long,29-07-09,162.3238074,24-08-09,172.5551006,6.3,478.0767675,0.47,50,18
13,TECHM,long,03-09-09,199.694674,23-09-09,187.3883814,-6.16,-654.0229369,-0.65,50,13
14,TECHM,long,29-10-09,192.5040193,02-12-09,194.7639235,1.17,74.26841807,0.07,50,23
15,TECHM,long,16-12-09,203.3927257,08-02-10,194.1476186,-4.55,-502.0093898,-0.5,50,34
16,TECHM,long,21-06-10,152.0309234,30-07-10,145.5119421,-4.29,-355.7033518,-0.36,50,29
17,TECHM,long,01-03-11,134.1598975,06-04-11,147.5759533,10,642.6292028,0.64,50,25
18,TECHM,long,19-04-11,146.5439294,06-05-11,138.0712258,-5.78,-452.0966949,-0.45,50,12
19,TECHM,long,09-06-11,143.5098581,19-08-11,132.814069,-7.45,-562.4218499,-0.57,50,50
20,TECHM,long,14-11-11,124.8471046,01-12-11,120.1270846,-3.78,-260.4984165,-0.26,50,13
21,TECHM,long,10-01-12,125.521389,02-03-12,124.7018504,-0.65,-65.99925487,-0.07,50,36
22,TECHM,long,20-03-12,129.6708753,09-05-12,138.3847205,6.72,408.8866995,0.41,50,33
23,TECHM,long,07-06-12,141.0819184,12-09-12,186.7981242,32.4,2253.022287,2.22,50,67
24,TECHM,long,20-09-12,187.757753,23-10-12,196.1338486,4.46,380.4156176,0.37,50,22
25,TECHM,long,01-02-13,208.4006431,04-04-13,203.6128524,-2.3,-280.590884,-0.28,50,42
26,TECHM,long,19-06-13,204.0300912,19-09-13,273.9169366,34.25,3446.547565,3.28,50,63
27,TECHM,long,11-10-13,322.5016129,09-12-13,352.4900991,9.3,1431.925139,1.34,50,38
28,TECHM,long,30-12-13,391.6091228,31-01-14,365.4320831,-6.68,-1384.556105,-1.32,50,24
29,TECHM,long,14-02-14,383.0230712,20-03-14,368.7198933,-3.73,-790.3331934,-0.76,50,22
30,TECHM,long,04-04-14,380.0912562,17-04-14,366.4791404,-3.58,-755.2628296,-0.73,50,7
31,TECHM,long,07-05-14,376.5311143,28-05-14,386.8134753,2.73,437.7835935,0.42,50,15
32,TECHM,long,04-06-14,397.6822233,17-10-14,485.0640667,21.97,4280.817539,3.95,50,91
33,TECHM,long,11-11-14,557.3481507,23-12-14,548.4711849,-1.59,-554.43022,-0.51,50,30
34,TECHM,long,16-01-15,588.6291137,25-02-15,592.8561236,0.72,93.20197088,0.09,50,26
35,TECHM,long,18-03-15,607.4398249,27-03-15,552.9095877,-8.98,-2842.546803,-2.71,50,7
36,TECHM,long,29-05-15,464.9430058,22-06-15,460.7580412,-0.9,-301.8183345,-0.29,50,16
37,TECHM,long,03-08-15,452.5538058,07-09-15,452.5538313,0,-90.50948974,-0.09,50,25
38,TECHM,long,24-09-15,479.0740213,28-10-15,459.1410786,-4.16,-1090.468646,-1.05,50,21
39,TECHM,long,13-11-15,444.8544223,26-11-15,460.2532701,3.46,679.4316226,0.65,50,8
40,TECHM,long,17-03-16,402.9354376,18-04-16,406.3573949,0.85,90.16858144,0.09,50,18
41,TECHM,long,27-04-16,408.0683439,22-06-16,462.648549,13.38,2641.938563,2.47,50,40
42,TECHM,long,16-11-16,375.7533415,27-01-17,402.9391858,7.24,1281.422962,1.18,50,51
43,TECHM,long,17-02-17,434.8869432,15-03-17,418.5234811,-3.76,-903.5141503,-0.84,50,16
44,TECHM,long,27-07-17,341.2169812,11-04-18,554.8542787,62.61,10592.25775,8.98,50,174
45,TECHM,long,20-04-18,591.147396,27-06-18,613.3043036,3.75,987.4002109,0.83,50,47
46,TECHM,long,07-08-18,607.2722358,26-09-18,687.5319766,13.22,3883.50662,3.16,50,32
47,TECHM,long,09-11-18,638.089086,05-12-18,644.4790656,1,191.2421661,0.16,50,17
48,TECHM,long,11-12-18,625.3998891,14-01-19,637.1827124,1.88,462.8829048,0.37,50,23
49,TECHM,long,25-01-19,663.4675839,15-03-19,719.6630726,8.47,2671.461372,2.12,50,33
50,TECHM,long,24-04-19,731.4458402,22-05-19,687.0334419,-6.07,-2362.467843,-1.91,50,18
51,TECHM,long,23-10-19,664.5479879,06-12-19,706.7276463,6.35,1971.855357,1.57,50,31
52,TECHM,long,24-12-19,718.5804022,11-03-20,639.196597,-11.05,-4104.967961,-3.37,50,53
53,TECHM,long,09-06-20,557.5371255,05-11-20,806.1166742,44.59,12292.61206,9.18,50,106
54,TECHM,long,03-12-20,880.3642685,08-02-21,935.1339179,6.22,2556.932651,1.87,50,45
55,TECHM,long,26-02-21,911.2203401,15-03-21,969.0757111,6.35,2704.738944,1.94,50,10
56,TECHM,long,18-03-21,997.0390132,29-04-21,949.7906008,-4.74,-2557.10358,-1.87,50,26
57,TECHM,long,26-07-21,1119.854508,16-09-21,1450.414672,29.52,16270.98128,10.64,50,36
